CITY_NAME	GENERIC_LOCATION_CODE	TIME_ZONE	STATUS_CODE	COUNTRY_CODE	DAYS_OF_WEEK_OF_OPERATION	DEFAULT_LONG_NAME	DEFAULT_SHORT_NAME	EMAIL	FAX_NUMBER	ADDRESS	LATITUDE	LOCATION_TYPE_CODE	LONGITUDE	MINIMUM_CONNECTION_TIME	PHONE_NUMBER	POSTAL_CODE	PROVINCE_STATE_CODE	DATA_OWNER	CODE_VALUE	CODE_CONTEXT
	501021	CET	1	DE		Schloss, Schramberg	Schloss, Schramberg				481342N	29	082303E					NVS	501021	UIC
	501027	CET	1	DE		Realschule, Schrambe	Realschule, Schrambe				481329N	29	082310E					NVS	501027	UIC
	501034	CET	1	DE		Grüner Baum, Schramb	Grüner Baum, Schram				481347N	29	082411E					NVS	501034	UIC
	501070	CET	1	DE		Sulgen Berufsschule,	Sulgen Berufsschule,				481337N	29	082533E					NVS	501070	UIC
	501114	CET	1	DE		Kläranlage, Schrambe	Kläranlage, Schramb				481443N	29	082231E					NVS	501114	UIC
	501138	CET	1	DE		Sulgen Heuwies, Schr	Sulgen Heuwies, Schr				481331N	29	082640E					NVS	501138	UIC
	501178	CET	1	DE		Gymnasium, Schramber	Gymnasium, Schramber				481316N	29	082313E					NVS	501178	UIC
	501188	CET	1	DE		Landratsamt, Rottwei	Landratsamt, Rottwei				480943N	29	083754E					NVS	501188	UIC
	501216	CET	1	DE		Friedrichschule, Fur	Friedrichschule, Fur				480315N	29	081217E					NVS	501216	UIC
	501275	CET	1	DE		Allmendstraße, Furtw	Allmendstraße, Furt				480257N	29	081257E					NVS	501275	UIC
	501340	CET	1	DE		Busbahnhof, Schrambe	Busbahnhof, Schrambe				481322N	29	082306E					NVS	501340	UIC
