CITY_NAME|GENERIC_LOCATION_CODE|TIME_ZONE|STATUS_CODE|COUNTRY_CODE|DAYS_OF_WEEK_OF_OPERATION|DEFAULT_LONG_NAME|DEFAULT_SHORT_NAME|EMAIL|FAX_NUMBER|ADDRESS|LATITUDE|LOCATION_TYPE_CODE|LONGITUDE|MINIMUM_CONNECTION_TIME|PHONE_NUMBER|POSTAL_CODE|PROVINCE_STATE_CODE|DATA_OWNER|CODE_VALUE|CODE_CONTEXT
|831A020|CET|1|IT||CATANZARO|CATANZARO||||415442N|26|123101E|||||FRR|831A020|RDS
|84G0001|CET|1|NL||AMSTERDAM|AMSTERDAM||||522020N|26|045228E|||||FRR|841A001|RDS
|84G0005|CET|1|NL||LA HAYE|LA HAYE||||520412N|26|041921E|||||FRR|841A002|RDS
|84G0006|CET|1|NL||ROTTERDAM|ROTTERDAM||||515528N|26|042810E|||||FRR|841A003|RDS
|84G0002|CET|1|NL||AMSTERDAM AEROPORT SCHIPHOL|AMSTERDAM AEROPORT S||||521834N|26|044544E|||||FRR|841A004|RDS
|84G0007|CET|1|NL||UTRECHT|UTRECHT||||514814N|26|043959E|||||FRR|841A005|RDS
|85G0037|CET|1|CH||ZURICH|ZURICH||||473243N|26|084141E|||||FRR|851A001|RDS
|8504211|CET|1|CH||LES VERRIERES|LES VERRIERES||||465403N|26|062731E|||||FRR|851A002|RDS
|85G0000|CET|1|CH||LAUSANNE|LAUSANNE||||463100N|26|063748E|||||FRR|851A003|RDS
|8501103|CET|1|CH||VALLORBE|VALLORBE||||464244N|26|062214E|||||FRR|851A004|RDS
|85G0027|CET|1|CH||INTERLAKEN|INTERLAKEN||||464125N|26|075208E|||||FRR|851A005|RDS
|85G0036|CET|1|CH||VERNAYAZ CH|VERNAYAZ CH||||460818N|26|070218E|||||FRR|851A006|RDS
|8509078|CET|1|CH||DAVOS|DAVOS||||464143N|26|094257E|||||FRR|851A007|RDS
|8504122|CET|1|CH||GRANGES|GRANGES||||464531N|26|065339E|||||FRR|851A008|RDS
|85G0030|CET|1|CH||LES MARECOTTES CH|LES MARECOTTES CH||||460644N|26|070042E|||||FRR|851A009|RDS
|85G0031|CET|1|CH||MARTIGNY CH|MARTIGNY CH||||460632N|26|070409E|||||FRR|851A011|RDS
|85G0032|CET|1|CH||NEUCHATEL|NEUCHATEL||||465947N|26|065608E|||||FRR|851A012|RDS
|851A013|CET|1|CH||THOUNE THUN|THOUNE THUN||||464517N|26|073746E|||||FRR|851A013|RDS
|85G0029|CET|1|CH||KLOSTERS|KLOSTERS||||465209N|26|095251E|||||FRR|851A014|RDS
|8501609|CET|1|CH||BRIG|BRIG||||461909N|26|075917E|||||FRR|851A016|RDS
|85G0038|CET|1|CH||FLIMS|FLIMS||||464730N|26|091631E|||||FRR|851A018|RDS
|8506203|CET|1|CH||RUETI|RUETI||||472134N|26|090430E|||||FRR|851A020|RDS
