CODE_VALUE|DEFAULT_LONG_NAME|DEFAULT_SHORT_NAME|LOCATION_TYPE_CODE|DATA_OWNER|GENERIC_LOCATION_CODE
871A114|LE HAVRE|LE HAVRE|26|FRR|87G0243
871A116|GEX|GEX|26|FRR|87G0183
871A117|LIMOGES|LIMOGES|26|FRR|87G0272
871A118|LE MANS|LE MANS|26|FRR|87G0246
871A123|LAVAL|LAVAL|26|FRR|87G0237
871A124|MEYMAC|MEYMAC|26|FRR|87G0308
871A126|MARGAUX|MARGAUX|26|FRR|87G0288
871A127|MULHOUSE|MULHOUSE|26|FRR|87G0326
871A128|MOIRANS|MOIRANS|26|FRR|87G0310
871A129|MARGUT|MARGUT|26|FRR|87G0289
871A131|MASSERET|MASSERET|26|FRR|87G0296
871A132|MONT SUR MEURTHE|MONT SUR MEURTHE|26|FRR|87G0312
871A133|METZ|METZ|26|FRR|87G0307
871A136|FERNEY|FERNEY|26|FRR|87G0167
871A137|NEVERS|NEVERS|26|FRR|87G0335
871A138|NOGENT SUR LOIR|NOGENT SUR LOIR|26|FRR|87G0338
871A140|FRONVILLE|FRONVILLE|26|FRR|87G0179
871A142|HOULGATE|HOULGATE|26|FRR|87G0197
871A144|PERIGUEUX|PERIGUEUX|26|FRR|87G0354
871A145|APACH|APACH|26|FRR|87G0011
871A146|PORT BOU FRANCE|PORT BOU FRANCE|26|FRR|87G0363
871A147|PORT ST PERE ST MARS|PORT ST PERE ST MARS|26|FRR|87G0365
871A148|POITIERS|POITIERS|26|FRR|8757500
871A150|PAU|PAU|26|FRR|87G0352
871A151|LE PUY|LE PUY|26|FRR|87G0251
871A152|CAPVERN|CAPVERN|26|FRR|87G0080
871A153|PAREMPUYRE|PAREMPUYRE|26|FRR|87G0351
871A155|BESANCON|BESANCON|26|FRR|87G0040
871A157|BARBEREY|BARBEREY|26|FRR|87G0026
871A160|CRANCEY|CRANCEY|26|FRR|87G0133
871A161|ERMONT|ERMONT|26|FRR|8727605
871A162|DREUX|DREUX|26|FRR|87G0155
871A163|VILLIERS LE SEC|VILLIERS LE SEC|26|FRR|87G0529
871A164|LES MOUTIERS EN RETZ|LES MOUTIERS EN RETZ|26|FRR|87G0261
871A165|CERIZAY|CERIZAY|26|FRR|87G0087
871A166|ST ANDRE|ST ANDRE|26|FRR|87G0421
871A167|ST AMAND|ST AMAND|26|FRR|87G0417
871A168|SEDAN|SEDAN|26|FRR|87G0409
871A171|ST LEONARD DE NOBLAT|ST LEONARD DE NOBLAT|26|FRR|87G0462
871A172|SERRES|SERRES|26|FRR|87G0410
871A173|ST VALERY|ST VALERY|26|FRR|87G0488
871A174|STRASBOURG|STRASBOURG|26|FRR|87G0496
871A175|BITCHE|BITCHE|26|FRR|87G0045
871A177|LATOUR DE CAROL ENVEITG|LATOUR DE CAROL ENVE|26|FRR|87G0235
871A180|THOIRY|THOIRY|26|FRR|87G0500
871A181|TOULOUSE|TOULOUSE|26|FRR|87G0504
871A182|NANTES|NANTES|26|FRR|87G0329
871A183|TRAPPES|TRAPPES|26|FRR|87G0508
871A184|PIERRE BUFFIERE|PIERRE BUFFIERE|26|FRR|87G0356
871A185|GUDMONT|GUDMONT|26|FRR|87G0188
871A186|URT|URT|26|FRR|87G0512
871A187|EURVILLE|EURVILLE|26|FRR|87G0162
871A188|UZERCHE|UZERCHE|26|FRR|87G0514
871A189|LE VERDON|LE VERDON|26|FRR|87G0253
871A191|BLONVILLE|BLONVILLE|26|FRR|87G0047
871A192|VILLEDIEU LES POELES|VILLEDIEU LES POELES|26|FRR|87G0522
871A193|VILLERS|VILLERS|26|FRR|87G0527
871A194|VIGNORY|VIGNORY|26|FRR|87G0521
871A195|VIERZON|VIERZON|26|FRR|87G0519
871A196|VITRY LA VILLE|VITRY LA VILLE|26|FRR|87G0532
871A198|CAGNES SUR MER|CAGNES SUR MER|26|FRR|87G0071
871A199|DAX|DAX|26|FRR|87G0142
871A200|SAUMUR|SAUMUR|26|FRR|87G0406
871A201|TOURCOING|TOURCOING|26|FRR|87G0506
871A202|VENDOME|VENDOME|26|FRR|87G0515
871A203|LA DEFENSE|LA DEFENSE|26|FRR|8775801
871A205|ZORNHOFF|ZORNHOFF|26|FRR|87G0537
871A206|MONTIERCHAUME|MONTIERCHAUME|26|FRR|87G0320
871A212|WISSEMBOURG|WISSEMBOURG|26|FRR|87G0536
871A219|CLERMONT-FERRAND|CLERMONT-FERRAND|26|FRR|87G0118
871A222|LA ROCHELLE|LA ROCHELLE|26|FRR|87G0221
871A227|RENNES|RENNES|26|FRR|87G0382
871A228|TOULON|TOULON|26|FRR|87G0503
871A229|CHALON SUR SAONE|CHALON SUR SAONE|26|FRR|87G0090
871A300|SARREBRUCK|SARREBRUCK|26|FRR|87G0402
871A301|FREBECOURT|FREBECOURT|26|FRR|87G0538
871A302|NEUFCHATEAU|NEUFCHATEAU|26|FRR|87G0539
871A303|TOUL|TOUL|26|FRR|87G0540
871A304|VAUCOULEURS|VAUCOULEURS|26|FRR|87G0541
871A306|DOMMARTIN|DOMMARTIN|26|FRR|87G0542
871A307|LA BRESSE|LA BRESSE|26|FRR|87G0543
871A308|REMIREMONT|REMIREMONT|26|FRR|87G0544
871A309|SAULXURES|SAULXURES|26|FRR|87G0545
871A311|HIELLE|HIELLE|26|FRR|8727607
871A313|MORHANGE|MORHANGE|26|FRR|87G0546
871A316|BRUYERES|BRUYERES|26|FRR|87G0547
871A324|MONTARGIS|MONTARGIS|26|FRR|87G0548
871A325|TULLE|TULLE|26|FRR|87G0549
871A327|MONDOUBLEAU|MONDOUBLEAU|26|FRR|87G0550
871A332|GOSSELMING|GOSSELMING|26|FRR|87G0551
871A333|LA MOTTE|LA MOTTE|26|FRR|87G0552
871A334|CHAMBOURG|CHAMBOURG|26|FRR|87G0553
871A335|QUINTIN|QUINTIN|26|FRR|87G0554
871A337|CHATILLON SUR SEINE|CHATILLON SUR SEINE|26|FRR|8768130
871A338|ST SAUVE|ST SAUVE|26|FRR|87G0555
871A343|REIGNAC|REIGNAC|26|FRR|87G0556
871A345|MANTES LA JOLIE|MANTES LA JOLIE|26|FRR|8738150
871A349|CONDAT|CONDAT|26|FRR|87G0557
871A351|DARSAC|DARSAC|26|FRR|87G0558
871A352|ANCIZES|ANCIZES|26|FRR|87G0559
871A355|BOURGES|BOURGES|26|FRR|87G0560
871A356|THIERS|THIERS|26|FRR|87G0561
871A357|RUFFEC|RUFFEC|26|FRR|87G0562
871A358|LAUTERBOURG (LO)|LAUTERBOURG (LO)|26|FRR|87G0563
871A359|BOIS DOINGT|BOIS DOINGT|26|FRR|87G0564
871A364|MONTDIDIER|MONTDIDIER|26|FRR|87G0565
871A365|ROUEN|ROUEN|26|FRR|87G0566
871A367|CARCASSONNE|CARCASSONNE|26|FRR|87G0567
871A370|GRENOBLE|GRENOBLE|26|FRR|87G0568
871A371|ROMORANTIN|ROMORANTIN|26|FRR|87G0569
871A373|REVEL|REVEL|26|FRR|87G0570
871A376|RODEZ|RODEZ|26|FRR|87G0571
871A379|MONTASTRUC|MONTASTRUC|26|FRR|87G0572
871A380|CARMAUX|CARMAUX|26|FRR|87G0573
871A381|TANUS|TANUS|26|FRR|87G0574
871A382|MONNAIE|MONNAIE|26|FRR|87G0575
871A384|BLESME|BLESME|26|FRR|87G0576
871A385|STE CHRISTIE|STE CHRISTIE|26|FRR|87G0577
871A386|GUNDERSHOFFEN|GUNDERSHOFFEN|26|FRR|87G0578
871A387|FARSCHVILLER|FARSCHVILLER|26|FRR|87G0579
871A388|COCHEREN|COCHEREN|26|FRR|87G0580
871A389|FAREBERSVILLER|FAREBERSVILLER|26|FRR|87G0581
871A390|METZERVISSE|METZERVISSE|26|FRR|87G0582
871A391|SARREWERDEN|SARREWERDEN|26|FRR|87G0583
871A392|SCHOPPERTEN|SCHOPPERTEN|26|FRR|87G0584
871A393|KESKASTEL|KESKASTEL|26|FRR|87G0585
871A394|SARRALTROFF|SARRALTROFF|26|FRR|87G0586
871A395|FENETRANGE|FENETRANGE|26|FRR|87G0587
871A396|ENCHENBERG|ENCHENBERG|26|FRR|87G0588
871A399|BENESTROFF|BENESTROFF|26|FRR|87G0589
871A400|SARREBOURG|SARREBOURG|26|FRR|87G0590
871A401|SARRE UNION|SARRE UNION|26|FRR|871A401
871A404|CLOYES|CLOYES|26|FRR|87G0591
871A407|MEURSAULT|MEURSAULT|26|FRR|87G0592
871A408|ALBAS|ALBAS|26|FRR|87G0593
871A409|DRACY ST LOUP|DRACY ST LOUP|26|FRR|87G0594
871A412|ALBA|ALBA|26|FRR|871A412
871A413|COULOMMIERS|COULOMMIERS|26|FRR|87G0595
871A414|ISSOIRE|ISSOIRE|26|FRR|87G0596
