ADDRESS	TIME_ZONE	CITY_NAME	STATUS_CODE	PROVINCE_STATE_CODE	COUNTRY_CODE	DAYS_OF_WEEK_OF_OPERATION	DAFAULT_LONG_NAME	DAFAULT_SHORT_NAME	EMAIL	FAX_NUMBER	GENERIC_LOCATION_CODE	LATITUDE	LOCATION_TYPE	LONGITUDE	MINIMUM_CONNECTION_TIME	PHONE_NUMBER	POSTAL_CODE	DATA_OWNER	CODE_VALUE	CODE_CONTEXT
	CET		1		IT		Canneto sull'Oglio	Canneto sull'Oglio			8335569	450851N	29	102214E				EVA	8301823	UIC
	CET		1		IT		Ospedaletto Lodigia.	Ospedaletto Lodigia.			8376449	451009N	29	093431E				EVA	8301839	UIC
	CET		1		IT		Osnago	Osnago			8301512	454030N	29	092316E				EVA	8301840	UIC
	CET		1		IT		Tresenda-Aprica-Teg.	Tresenda-Aprica-Teg.			8379169	460943N	29	100502E				EVA	8302269	UIC
	CET		1		IT		Iselle di Trasquera	Iselle di Trasquera			8313644	461226N	29	081225E				EVA	8302814	UIC
	CET		1		DE		Berlin Ostkreuz	Berlin Ostkreuz			80G0082	523011N	29	132809E				EVA	8011162	UIC
	CET		1		IT		Milano Lampugnano (Terminal Bus)	Milano Lampugnano (T			8389414	452923N	29	090739E				EVA	8389414	UIC
	CET		1		IT		Resia/Reschen	Resia/Reschen			8392941	464944N	29	103105E				EVA	8392941	UIC
	CET		1		IT		Passo Resia/Reschenpass	Passo Resia/Reschenp			8394223	465049N	29	103020E				EVA	8394223	UIC
	CET		1		IT		Laces/Latsch	Laces/Latsch			8396872	463710N	29	105139E				EVA	8396872	UIC
	CET		1		AT		Ledenitzen West Bahnhst	Ledenitzen West Bah			8102149	463346N	29	135754E				EVA	8102149	UIC
	CET		1		DE		Bonn UN Campus	Bonn UN Campus			8001091	504252N	29	070704E				EVA	8001091	UIC
	CET		1		IT		Arcisate	Arcisate			8301203	455130N	29	085145E				EVA	8301116	UIC
	CET		1		IT		Arcore	Arcore			83G0043	453715N	29	091925E				EVA	8301152	UIC
	CET		1		IT		Asola	Asola			8339081	451304N	29	102408E				EVA	8301164	UIC
	CET		1		IT		Albano S. Alessandro	Albano S. Alessandro			8347081	454058N	29	094603E				EVA	8301165	UIC
	CET		1		IT		Terme Vigliatore	Terme Vigliatore			8312040	380758N	29	150944E				EVA	8300475	UIC
	CET		1		IT		GaggioloConfine	GaggioloConfine			8302852	455028N	29	085454E				EVA	8302852	UIC
	CET		1		IT		Milano Nord Cadorna	Milano Nord Cadorna			8302988	453112N	29	091022E				EVA	8302988	UIC
	CET		1		IT		Milano Affori	Milano Affori			8302990	453118N	29	091004E				EVA	8302990	UIC
	CET		1		IT		Cesano Maderno	Cesano Maderno			8302998	453737N	29	090828E				EVA	8302998	UIC
	CET		1		IT		Inverigo	Inverigo			8303005	454425N	29	091327E				EVA	8303005	UIC
	CET		1		IT		Bollate Centro	Bollate Centro			8303014	453234N	29	090723E				EVA	8303014	UIC
	CET		1		IT		Saronno	Saronno			83G0320	453730N	29	090150E				EVA	8303018	UIC
	CET		1		IT		Venegono Inferiore	Venegono Inferiore			8303024	454401N	29	085337E				EVA	8303024	UIC
	CET		1		IT		Varese Nord	Varese Nord			8303028	454922N	29	085015E				EVA	8303028	UIC
	CET		1		IT		Varese-Casbeno	Varese-Casbeno			83G0326	454848N	29	084827E				EVA	8303029	UIC
	CET		1		IT		Bellano-Tartavelle Terme	Bellano-Tartavelle T			8301409	460222N	29	091809E				EVA	8300363	UIC
	CET		1		IT		Varenna-Esino	Varenna-Esino			8301411	460055N	29	091712E				EVA	8300389	UIC
	CET		1		IT		Viadana Bresciana	Viadana Bresciana			8342369	452214N	29	101957E				EVA	8302304	UIC
	CET		1		IT		Villa di Tirano	Villa di Tirano			8301439	461147N	29	100749E				EVA	8302316	UIC
	CET		1		AT		Schalchen-Mattighofen Bahnhof	Schalchen-Mattighofe			8102068	480545N	29	130947E				EVA	8102068	UIC
	CET		1		AT		Hall-Thaur Bahnhst	Hall-Thaur Bahnhst			8102105	471638N	29	112828E				EVA	8102105	UIC
	CET		1		AT		Vils in Tirol Stadt Bahnhst	Vils in Tirol Stadt 			8102260	473259N	29	103754E				EVA	8102260	UIC
	CET		1		IT		Pioltello-Limito	Pioltello-Limito			8301703	452909N	29	091942E				EVA	8301897	UIC
	CET		1		IT		Villasanta	Villasanta			8301481	453603N	29	091817E				EVA	8302360	UIC
	CET		1		IT		Bagnolo Mella	Bagnolo Mella			8301901	452529N	29	101056E				EVA	8301230	UIC
	CET		1		IT		Cisano-Caprino Bergamasco	Cisano-Caprino Berga			8301525	454422N	29	092828E				EVA	8301307	UIC
	CET		1		IT		Napoli Afragola	Napoli Afragola			8309988	405557N	29	141954E				EVA	8309988	UIC
	CET		1		IT		Laveno Mombello Nord	Laveno Mombello Nord			8303036	455409N	29	083730E				EVA	8303036	UIC
	CET		1		IT		Como Nord Borghi	Como Nord Borghi			8303047	454814N	29	090525E				EVA	8303047	UIC
	CET		1		IT		Como Nord Lago	Como Nord Lago			8303048	454839N	29	090507E				EVA	8303048	UIC
	CET		1		IT		Novara Nord	Novara Nord			8303057	452702N	29	083731E				EVA	8303057	UIC
	CET		1		IT		Boario Terrme	Boario Terrme			8303062	455331N	29	101128E				EVA	8303062	UIC
	CET		1		IT		Capo di Ponte	Capo di Ponte			8303067	460151N	29	102047E				EVA	8303067	UIC
	CET		1		IT		Cividate Malegno	Cividate Malegno			8303071	455637N	29	101606E				EVA	8303071	UIC
	CET		1		IT		Darfo-Corna	Darfo-Corna			8303073	455303N	29	101052E				EVA	8303073	UIC
	CET		1		IT		Edolo	Edolo			8303074	461037N	29	101946E				EVA	8303074	UIC
	CET		1		IT		Pilzone	Pilzone			8303086	454028N	29	100445E				EVA	8303086	UIC
	CET		1		IT		Pisogne	Pisogne			83G0336	454824N	29	100621E				EVA	8303087	UIC
	CET		1		IT		Sulzano	Sulzano			8303092	454122N	29	100602E				EVA	8303092	UIC
	CET		1		AT		Waidhofen/Ybbs Bahnhof (Citybahn)	Waidhofen/Ybbs Bahnh			81G0042	475806N	29	144558E				EVA	8198445	UIC
	CET		1		IT		Calolziocorte-Olginate	Calolziocorte-Olgina			8301524	454804N	29	092539E				EVA	8300044	UIC
	CET		1		IT		Varese	Varese			83G0313	454916N	29	085003E				EVA	8300050	UIC
	CET		1		IT		Colico	Colico			83G0036	460816N	29	092231E				EVA	8300055	UIC
	CET		1		IT		Domodossola	Domodossola			8571186	460656N	29	081748E				EVA	8300057	UIC
	CET		1		IT		Milano S.Cristoforo	Milano S.Cristoforo			8335518	452633N	29	090749E				EVA	8300461	UIC
	CET		1		IT		Porto Ceresio	Porto Ceresio			8300472	455414N	29	085354E				EVA	8300472	UIC
	CET		1		IT		Silandro/Schlanders	Silandro/Schlanders			8350484	463733N	29	104559E				EVA	8300483	UIC
	CET		1		IT		Sondrio	Sondrio			8301430	461002N	29	095222E				EVA	8300485	UIC
	CET		1		IT		Milano Porta Genova	Milano Porta Genova			8350504	452711N	29	091009E				EVA	8300504	UIC
	CET		1		IT		Cassano d'Adda	Cassano d'Adda			8375161	453052N	29	093046E				EVA	8301318	UIC
	CET		1		IT		Crema	Crema			83G0050	452159N	29	094140E				EVA	8301332	UIC
	CET		1		IT		Certosa di Pavia	Certosa di Pavia			8301803	451524N	29	090915E				EVA	8301333	UIC
